from,to,buyer,seller,tokenId,amount,timestamp
78,50,5acce70cae148b520ff36dcf177ee78ba54ebc04,39cc9c86e67baf2129b80fe3414c397492ea8026,10,0.5,2018-08-27T08:01:03Z
42,104,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,77350e1152efd5f2d807a6124015c629a907155e,626,0.05,2018-09-02T07:10:30Z
189,181,da5e56e6a41230ed87f39b7c65ede7a8373de403,ced2662fe30d876bef52f219eeac67e2b328effc,536,0.11,2018-09-04T20:27:48Z
94,172,6853a596d6d7264d3622546da3b891b6fe17eb82,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,2,1.85,2018-09-05T21:06:04Z
132,84,9787b715a9ea9ef26be9c03bb49664e357e279c9,60d38778adbbeeac88f741b833cbb9877228eea0,176,0.05,2018-09-05T23:31:06Z
156,104,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,77350e1152efd5f2d807a6124015c629a907155e,546,0.075,2018-09-06T10:44:27Z
7,141,085627c26cdc6fa43ad562e0eb636c1cec498493,9e30a1e5e13a2e0f2ed775bbd420fb7cb31ebebe,657,0.3,2018-09-06T20:17:06Z
7,189,085627c26cdc6fa43ad562e0eb636c1cec498493,da5e56e6a41230ed87f39b7c65ede7a8373de403,647,0.3,2018-09-06T20:23:41Z
7,50,085627c26cdc6fa43ad562e0eb636c1cec498493,39cc9c86e67baf2129b80fe3414c397492ea8026,643,0.5,2018-09-06T20:25:29Z
7,163,085627c26cdc6fa43ad562e0eb636c1cec498493,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,610,0.5,2018-09-06T20:25:52Z
7,104,085627c26cdc6fa43ad562e0eb636c1cec498493,77350e1152efd5f2d807a6124015c629a907155e,560,0.1984,2018-09-06T20:27:10Z
7,181,085627c26cdc6fa43ad562e0eb636c1cec498493,ced2662fe30d876bef52f219eeac67e2b328effc,532,0.5,2018-09-06T20:47:37Z
7,83,085627c26cdc6fa43ad562e0eb636c1cec498493,5fae9d4b591f213b3ba75287f2cfac0883d17f7a,155,1,2018-09-06T21:14:05Z
7,185,085627c26cdc6fa43ad562e0eb636c1cec498493,d6d6403ded517f2b7ab4fcbdc69b8718cdadb5cb,106,0.47,2018-09-07T12:35:18Z
7,65,085627c26cdc6fa43ad562e0eb636c1cec498493,4cc94028024bb109784690d71a4a010241aa6689,79,0.25,2018-09-07T12:37:53Z
7,27,085627c26cdc6fa43ad562e0eb636c1cec498493,21316e6a4f0af45e5f1503984e83b10c53b177d8,145,1.2,2018-09-07T14:33:51Z
7,126,085627c26cdc6fa43ad562e0eb636c1cec498493,8e23b400c603e1fd0990b69d7734531f6a0db334,650,0.5,2018-09-07T14:42:01Z
151,27,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,21316e6a4f0af45e5f1503984e83b10c53b177d8,42,0.23,2018-09-07T17:34:28Z
151,29,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,234ff6b1fe028fcc7cc9dbc52d0532d9e7ae7f2f,566,0.1,2018-09-07T17:38:23Z
151,49,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,39c040b50a13894e19dfbb0af47ac9bade9926da,497,0.075,2018-09-07T17:39:29Z
111,189,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,da5e56e6a41230ed87f39b7c65ede7a8373de403,646,0.5,2018-09-07T18:38:04Z
151,65,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,4cc94028024bb109784690d71a4a010241aa6689,90,0.25,2018-09-07T20:34:48Z
34,133,2b3ab8e7bb14988616359b78709538b10900ab7d,981276d81272f7cd8808701645741db1abacad56,168,0.5,2018-09-09T03:20:11Z
175,163,c1ccf7456fd640473c383468df2c18a2e3d68ea5,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,552,4,2018-09-10T09:26:04Z
134,104,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,77350e1152efd5f2d807a6124015c629a907155e,629,0.1,2018-09-11T01:09:12Z
34,94,2b3ab8e7bb14988616359b78709538b10900ab7d,6853a596d6d7264d3622546da3b891b6fe17eb82,172,0.6,2018-09-11T02:34:26Z
134,104,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,77350e1152efd5f2d807a6124015c629a907155e,630,0.15,2018-09-11T07:44:31Z
94,219,6853a596d6d7264d3622546da3b891b6fe17eb82,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,648,0.12,2018-09-11T11:28:11Z
156,104,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,77350e1152efd5f2d807a6124015c629a907155e,682,0.1,2018-09-16T19:57:03Z
151,181,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,ced2662fe30d876bef52f219eeac67e2b328effc,521,0.15,2018-09-17T05:42:13Z
151,104,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,77350e1152efd5f2d807a6124015c629a907155e,500,0.05,2018-09-17T06:47:36Z
151,156,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,690,0.1,2018-09-18T04:00:30Z
133,104,981276d81272f7cd8808701645741db1abacad56,77350e1152efd5f2d807a6124015c629a907155e,662,0.077,2018-09-21T08:09:51Z
200,126,e8c9333d6ba367ebd7ed1afd83088b5b5ea15d84,8e23b400c603e1fd0990b69d7734531f6a0db334,547,0.03,2018-09-22T10:18:51Z
111,189,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,da5e56e6a41230ed87f39b7c65ede7a8373de403,641,0.075,2018-09-24T12:30:54Z
103,27,7672b17d5eebb7194d57066f86fbcb4e85a7e10e,21316e6a4f0af45e5f1503984e83b10c53b177d8,32,0.03,2018-09-24T19:15:42Z
151,219,aeb70953077c1eceff54b0c65b2a3c54ed7ea185,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,705,0.15,2018-09-25T10:03:48Z
177,42,c72f3a0fedd9df54af271912f283cc0024c14197,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,78,0.25,2018-09-25T10:16:39Z
145,8,a4ad045d62a493f0ed883b413866448afb13087c,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,678,0.051,2018-09-25T20:30:05Z
104,219,77350e1152efd5f2d807a6124015c629a907155e,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,706,0.1,2018-09-26T10:10:22Z
124,8,89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,663,0.5,2018-09-29T05:53:17Z
124,60,89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,47709726b5bdc4c8c97de43691d93821d5b14103,19,0.5,2018-09-29T06:04:24Z
124,8,89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,625,0.5,2018-09-30T02:17:17Z
94,189,6853a596d6d7264d3622546da3b891b6fe17eb82,da5e56e6a41230ed87f39b7c65ede7a8373de403,732,0.4,2018-10-02T14:13:48Z
70,163,53884d6d5edc031cf063c36103710583631f0f3c,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,607,0.5,2018-10-02T19:11:15Z
